#,Date,Temp,Lux
272,5/14/2022 13:45,30.154,3444.5
273,5/14/2022 14:00,30.154,3961.1
274,5/14/2022 14:15,30.255,5511.1
275,5/14/2022 14:30,30.356,12400.1
276,5/14/2022 14:45,30.356,8611.2
277,5/14/2022 15:00,30.154,4822.3
278,5/14/2022 15:15,30.255,8611.2
279,5/14/2022 15:30,30.054,2755.6
280,5/14/2022 15:45,29.953,1636.1
281,5/14/2022 16:00,29.853,1550
282,5/14/2022 16:15,29.953,2755.6
283,5/14/2022 16:30,29.953,2583.4
284,5/14/2022 16:45,29.953,3272.2
285,5/14/2022 17:00,29.752,1173.3
286,5/14/2022 17:15,29.652,871.9
287,5/14/2022 17:30,29.652,1162.5
288,5/14/2022 17:45,29.552,86.1
289,5/14/2022 18:00,29.552,75.3
290,5/14/2022 18:15,29.552,53.8
291,5/14/2022 18:30,29.452,10.8
292,5/14/2022 18:45,29.452,0
293,5/14/2022 19:00,29.352,0
294,5/14/2022 19:15,29.352,0
295,5/14/2022 19:30,29.352,0
296,5/14/2022 19:45,29.252,0
297,5/14/2022 20:00,29.252,0
298,5/14/2022 20:15,29.252,0
299,5/14/2022 20:30,29.252,0
300,5/14/2022 20:45,29.152,0
301,5/14/2022 21:00,29.152,0
302,5/14/2022 21:15,29.152,0
303,5/14/2022 21:30,29.152,0
304,5/14/2022 21:45,29.152,0
305,5/14/2022 22:00,29.152,0
306,5/14/2022 22:15,29.152,0
307,5/14/2022 22:30,29.152,0
308,5/14/2022 22:45,29.053,0
309,5/14/2022 23:00,29.053,0
310,5/14/2022 23:15,29.053,0
311,5/14/2022 23:30,29.053,0
312,5/14/2022 23:45,29.053,0
313,5/15/2022 0:00,29.053,0
314,5/15/2022 0:15,29.053,0
315,5/15/2022 0:30,29.053,0
316,5/15/2022 0:45,29.053,0
317,5/15/2022 1:00,29.053,0
318,5/15/2022 1:15,29.053,0
319,5/15/2022 1:30,29.053,0
320,5/15/2022 1:45,29.053,0
321,5/15/2022 2:00,29.053,0
322,5/15/2022 2:15,29.053,0
323,5/15/2022 2:30,29.053,0
324,5/15/2022 2:45,28.953,0
325,5/15/2022 3:00,29.053,0
326,5/15/2022 3:15,29.053,0
327,5/15/2022 3:30,29.053,0
328,5/15/2022 3:45,29.053,0
329,5/15/2022 4:00,28.953,0
330,5/15/2022 4:15,28.953,0
331,5/15/2022 4:30,28.953,0
332,5/15/2022 4:45,28.953,0
333,5/15/2022 5:00,28.953,0
334,5/15/2022 5:15,28.953,0
335,5/15/2022 5:30,28.953,0
336,5/15/2022 5:45,28.953,0
337,5/15/2022 6:00,28.953,10.8
338,5/15/2022 6:15,28.953,32.3
339,5/15/2022 6:30,29.053,64.6
340,5/15/2022 6:45,29.053,86.1
341,5/15/2022 7:00,29.053,96.9
342,5/15/2022 7:15,29.053,118.4
343,5/15/2022 7:30,29.053,193.8
344,5/15/2022 7:45,29.053,258.3
345,5/15/2022 8:00,29.053,333.7
346,5/15/2022 8:15,29.152,678.1
347,5/15/2022 8:30,29.152,785.8
348,5/15/2022 8:45,29.252,656.6
349,5/15/2022 9:00,29.252,1011.8
350,5/15/2022 9:15,29.252,699.7
351,5/15/2022 9:30,29.352,656.6
352,5/15/2022 9:45,29.352,721.2
353,5/15/2022 10:00,29.452,742.7
354,5/15/2022 10:15,29.452,764.2
355,5/15/2022 10:30,29.552,775
356,5/15/2022 10:45,29.552,882.6
357,5/15/2022 11:00,29.652,1894.5
358,5/15/2022 11:15,29.752,1894.5
359,5/15/2022 11:30,29.853,4994.5
